UPC,Description,Cost,QoH,Special Price Method,Unit Price,Group Price,Group Qty,Start Date,End Date,Net Sales,Foodstamp,Scale,Scanned Count
0000001451303,BEEF WITH RIBS ,4.99,-374.14,,,,,,,0,TRUE,TRUE,0
0000001451304,BEEF FRONT LEG 1451304,4.99,-98.96,,,,,,,0,TRUE,TRUE,0
0000001451305,BEEF LIVER ,4.99,-465.68,,,,,,,0,TRUE,TRUE,0
0000001451306,GROUND BEEF ,3.99,-48.23,,,,,,,0,TRUE,TRUE,0
0000001451307,BEEF BRAIN ,4.99,38,,,,,,,0,TRUE,FALSE,0
0000001451308,FROZEN KEEMA ,2.99,38,,,,,,,0,TRUE,TRUE,0
0000001451309,BEEF PICANHA ,2.99,40,,,,,,,0,TRUE,FALSE,0
0000001451310,BEEF HEAD ,5,2,,,,,,,0,TRUE,FALSE,0
0000001665465,CABBAGE,0.75,,,,,,,,0,TRUE,TRUE,0
0000001857291,HALAL TURKEY ,1.19,-66.11,,,,,,,0,TRUE,TRUE,0
0000002020232,CHITAL 4KG UP ,4.5,17,,,,,,,0,TRUE,TRUE,0
0000002134222,PUMPKIN ,1.13,8.92,,,,,,,0,TRUE,TRUE,0
0000002141211,LEMON ,0.15,-47,,,,,,,0,TRUE,FALSE,0
0000002342225,KORAL 2 UP ,3.99,-133.02,,,,,,,0,TRUE,TRUE,0
0000002342322,POMPRET ND ,3.99,0.3,,,,,,,0,TRUE,TRUE,0
0000002352135,GOAT CURRY ,8.29,-92.12,,,,,,,0,TRUE,FALSE,0
0000002352311,ROSE MASOR DAL 2 LB ,1.5,7,,,,,,,0,TRUE,FALSE,0
0000002352312,ROSE MASOR DAL 4 LB ,4.5,8,,,,,,,0,TRUE,FALSE,0
0000002892379,MRIGAL 6KG/7KG ,3.29,-128.92,,,,,,,0,TRUE,TRUE,0
0000004567890,BEEF MIX DISC,3.29,-380.55,,,,,,,0,TRUE,TRUE,0
0000006969696,HILSHA 15/18 ,12.99,-70.64,,,,,,,0,TRUE,TRUE,0
0000007658996,CKN BIRYNI ,4.99,-6,,,,,,,0,TRUE,FALSE,0
0000008067007,STARKIST WHITE TUNA ,1.19,4,,,,,,,0,TRUE,FALSE,0
0000008067104,STARKIST WHITE ,1.19,1,,,,,,,0,TRUE,FALSE,0
0000008067308,STARKIST TUNA ,1.55,4,,,,,,,0,TRUE,FALSE,0
0000008660533,BUMBLE WHITE TUNA ,1.56,4,,,,,,,0,TRUE,FALSE,0
0000008727272,ALA UDDIN SWEETS ,5,66,,,,,,,0,TRUE,FALSE,0
0000008727273,BAGABARI GHEE 450G,9.99,147,,,,,,,0,TRUE,FALSE,0
0000009283732,KATLA 2KG/3KG ,1.75,123.7,,,,,,,0,TRUE,TRUE,0
0000009922211,OKRA ,3.29,31.16,,,,,,,0,TRUE,TRUE,0
0000009922212,CARLIFLOWER ,3.75,31.4,,,,,,,0,TRUE,TRUE,0
0000009922213,CILANTRO ,0.62,-23,,,,,,,0,TRUE,FALSE,0
0000009922214,GREEN CHILLI ,1.99,-37.82,,,,,,,0,TRUE,TRUE,0
0000009922215,ROMA TOMATO ,0.98,-18.86,,,,,,,0,TRUE,TRUE,0
0000009922216,EGG PLANT FANCY ,1.29,17.16,,,,,,,0,TRUE,TRUE,0
0000009922217,PARVAL ,4,40,,,,,,,0,TRUE,TRUE,0
0000009922218,GREEN PLAINT ,0.99,34.34,,,,,,,0,TRUE,TRUE,0
0000009922219,ARVI ,2,27.26,,,,,,,0,TRUE,TRUE,0
0000009922220,WHITE POTATOES ,1.29,15.76,,,,,,,0,TRUE,TRUE,0
0000009922221,VALOR FLAT ,1.29,37.26,,,,,,,0,TRUE,FALSE,0
0000012118901,COW CURRY ,5,-26,,,,,,,0,TRUE,FALSE,0
0000012118902,LAMB CURRY ,8,-22,,,,,,,0,TRUE,FALSE,0
0000012118909,CHICKEN CURRY ,1.36,-198,,,,,,,0,TRUE,FALSE,0
0000012311111,HILSHA 8/10 ,10,7.31,,,,,,,0,TRUE,FALSE,0
0000012312121,MALANGA ,2.49,9.62,,,,,,,0,TRUE,TRUE,0
0000012312311,BAGHABARI GHEE 900GM,,-1,,,,,,,0,TRUE,FALSE,0
0000012341111,CATALINA MANGO ,11.5,-4,,,,,,,0,TRUE,FALSE,0
0000014572143,CKN WHOLE ,4.67,-481,,,,,,,15.98,TRUE,FALSE,0
0000016654646,KORAL 4KG UP,4.5,24.36,,,,,,,0,TRUE,TRUE,0
0000021542522,ONION RED 25LB ,18.5,4,,,,,,,0,TRUE,FALSE,0
0000022441245,FROZEN BLOCK (JC) TAPOSHI X 50 ,7,11,,,,,,,0,TRUE,FALSE,0
0000023423424,BEEF T-BONE STAKE ,4.99,-72.71,,,,,,,0,TRUE,TRUE,0
0000023525222,ONION 25LB RED ,17,-2,,,,,,,0,TRUE,FALSE,0
0000032456789,PATTES ,0.5,-60,,,,,,,0,TRUE,FALSE,0
0000045231233,ZAMZAM WATER ,3.5,34,,,,,,,0,TRUE,FALSE,0
0000065089149,BUTTER COOKIES WF ,2.99,18,,,,,,,0,TRUE,FALSE,0
0000065089248,Cake Rusk(WF) ,2.99,-36,,,,,,,0,TRUE,FALSE,0
0000065089439,Raisin Cookies (WF) ,2.99,22,,,,,,,0,TRUE,FALSE,0
0000065089446,Lachcha Semai (WF) (400g) ,2.75,12,,,,,,,0,TRUE,FALSE,0
0000066778899,LADOO ,4,-8,,,,,,,0,TRUE,FALSE,0
0000068708967,1763581662348 ,1.99,2,,,,,,,0,TRUE,FALSE,0
0000072222551,KORAL 3KG UP ,3.99,-421.88,,,,,,,0,TRUE,TRUE,0
0000077669652,NUT MEG WHOLE PKT ,2.75,35,,,,,,,0,TRUE,FALSE,0
0000078588448,HILSHA 10/12 ,7.4997,-88.12,,,,,,,0,TRUE,TRUE,0
0000079843647,ROHU 3KG / 4KG ,2.25,36.3809,,,,,,,0,TRUE,TRUE,0
0000088277222,MRIGAL 5KG ,3.29,-390.43,,,,,,,0,TRUE,TRUE,0
0000096133262,CADBURY DAIRY MILK WHL NUT ,0.96,43,,,,,,,0,TRUE,FALSE,0
0000098347934,SWAI 1KGUP ,2.99,-122.19,,,,,,,0,TRUE,TRUE,0
0000099554486,ROHU 5KG UP ,2.35,-945.78,,,,,,,0,TRUE,TRUE,0
0000121189045,PEELED GARLIC ,4.99,2,,,,,,,0,TRUE,FALSE,0
0000121189065,MAJESTIC MEDJOOL ,2.99,0,,,,,,,0,TRUE,FALSE,0
0000121241241,Hilsha 5/8,12.99,,,,,,,,0,TRUE,FALSE,0
0000123412434,Dates 11LB,27,3,,,,,,,0,TRUE,FALSE,0
0000234222522,BEEF NEHARI/SHANK ,3.29,-95.49,,,,,,,0,TRUE,TRUE,0
0000234232222,MRIGAL 4KG ,3.1,-611.4,,,,,,,0,TRUE,TRUE,0
0000234234222,RED SNAPPER ,4.5,41.72,,,,,,,0,TRUE,TRUE,0
0000234234242,LAUKI / BOTTLE GAURD ,1.49,0,,,,,,,0,TRUE,TRUE,0
0000313132132,ICEBERG LETTUCE,1.69,2,,,,,,,0,TRUE,FALSE,0
0000323112413,SMELT FISH ,2.75,200,,,,,,,0,TRUE,TRUE,0
0000323112414,MRIGAL 3 ,2.65,8.13,,,,,,,0,TRUE,TRUE,0
0000323112415,MRIGAL 6U ,3.5,200,,,,,,,0,TRUE,TRUE,0
0000323112416,ROHU 3U ,1.59,200,,,,,,,0,TRUE,TRUE,0
0000323112417,ROHU 4U ,1.7897,90,,,,,,,0,TRUE,TRUE,0
0000323112418,ROHU 5U ,1.9897,44,,,,,,,0,TRUE,TRUE,0
0000323112419,SWAI WHOLE ,3.5,171.39,,,,,,,0,TRUE,TRUE,0
0000323112420,KATLA ,2,200,,,,,,,0,TRUE,TRUE,0
0000323112421,BATA IQF ,12,8,,,,,,,0,TRUE,FALSE,0
0000323112423,BAILLA BLOCK (JC) ,4.5,25,,,,,,,0,TRUE,TRUE,0
0000323112424,CHAPILA BLK ,2,36,,,,,,,0,TRUE,TRUE,0
0000323112425,(JC) HILSHA BLK ,7,27,,,,,,,0,TRUE,FALSE,0
0000323112426,(FB) KOI BLK ,4,24,,,,,,,0,TRUE,FALSE,0
0000323112427,(JC) MIXED BLK ,2,60,,,,,,,0,TRUE,FALSE,0
0000323112428,MOLA BLK (JC) ,2.25,30,,,,,,,0,TRUE,FALSE,0
0000323112432,(JC) TAPOSHI ,7,30,,,,,,,0,TRUE,TRUE,0
0000323112440,ROHU EGG BLK ,3,53,,,,,,,0,TRUE,FALSE,0
0000743737122,LAKKA ,5.99,-4.48,,,,,,,0,TRUE,TRUE,0
0000786106567,TATKA CHANACHUR,2.99,-9,,,,,,,0,TRUE,FALSE,0
0000872727398,SEA KING DRY SHRIMP FISH 200 G ,5,48,,,,,,,0,TRUE,FALSE,0
0000882927472,MRIGAL 2KG/ 3KG ,2,-120.7,,,,,,,0,TRUE,TRUE,0
0000938723872,HARD CKN BABY ,2.55,-156.5,,,,,,,0,TRUE,TRUE,0
0000992221412,GREEN CHILLI .5LB ,0.29,8,,,,,,,0,TRUE,FALSE,0
0001074800012,Zabra super basmati xtra ,15.49,12,,,,,,,0,TRUE,FALSE,0
0001211890123,PRAYER MAT ,2.5,54,,,,,,,0,TRUE,FALSE,0
0001212121241,BAGHABARI GHEE 250G,5.99,-2,,,,,,,0,TRUE,FALSE,0
0001231231111,CKN Q HALF BOX,11.67,4,,,,,,,0,TRUE,TRUE,0
0001243241411,CKN THIGH,1.54,-83.15,,,,,,,0,TRUE,TRUE,0
0001244451441,HILSHA EGG 200G ,9.99,94,,,,,,,0,TRUE,FALSE,0
0002134234242,Onion Loose,0.94,-8.5697,,,,,,,0,TRUE,TRUE,0
0002234252236,LYCHEE ,5.3,-30.98,,,,,,,0,TRUE,TRUE,0
0002444782242,ZIRA CUT ,0.5,11,,,,,,,0,TRUE,FALSE,0
0003274972934,GARLIC LOOSE ,2.5,-48.48,,,,,,,0,TRUE,TRUE,0
0004082762559,SWAD MAIDA 7LB ,5.33,3,,,,,,,0,TRUE,FALSE,0
0005858484443,KATLA 5KG ,2.25,87.95,,,,,,,0,TRUE,TRUE,0
0006515165165,FB HILSHA EGG,11,29,,,,,,,0,TRUE,FALSE,0
0007862212320,PREETI ZELABI,6,0,,,,,,,0,TRUE,FALSE,0
0008396300609,10 VEGE SAMOSAS SHAHIA ,3.65,-29,,,,,,,0,TRUE,FALSE,0
0008758587832,ROHU 1KG / 2KG ,2,0.38,,,,,,,0,TRUE,TRUE,0
0011156000103,TETLEY BOX ,8.5,2,,,,,,,0,TRUE,FALSE,0
0011156000110,TETLEY LOOSE LEAF TEA ,4.5,0,,,,,,,0,TRUE,FALSE,0
0011156000141,TETLY GINGER ,4,10,,,,,,,0,TRUE,FALSE,0
0011156000158,TETLY MASALA ,4,-2,,,,,,,0,TRUE,FALSE,0
0011156000318,TETLEY 80 BAG ,4,2,,,,,,,0,TRUE,FALSE,0
0011156054502,TETLY BRITISH 80BG ,4.5,2,,,,,,,0,TRUE,FALSE,0
0011433071130,CORIANDER SEEDS 400G ,1.99,0,,,,,,,0,TRUE,FALSE,0
0011433118330,MIRCH MASALA PURI ,2.75,0,,,,,,,0,TRUE,FALSE,0
0011433120258,BANSI CHORA VADI ,2.5,0,,,,,,,0,TRUE,FALSE,0
0011433120432,DEEP RED CHILI 100G ,2,0,,,,,,,0,TRUE,FALSE,0
0011433150064,DEEP PARATHA 011433150064,2.49,-8,,,,,,,0,TRUE,FALSE,0
0011433150095,DEEP TANDOORI NAAN ,2.49,-133,,,,,,,0,TRUE,FALSE,0
0011433150811,DEEP NAN FAMILY ,7.75,0,,,,,,,0,TRUE,FALSE,0
0011433151054,DEEP FAMILY PATHARA ,5.8,1,,,,,,,0,TRUE,FALSE,0
0011433152723,DEEP RED POHA ,2.3,6,,,,,,,0,TRUE,FALSE,0
0011433159937,DEEP SHREDDED COCONTUT,,,,,,,,,0,TRUE,FALSE,0
0011433161282,DEEP GARLIC NAAN FAMILY PACK ,6.75,-119,,,,,,,0,TRUE,FALSE,0
0011433164498,DEEP TANDOORI NAAN ,6.875,-2,,,,,,,0,TRUE,FALSE,0
0012042001051,KCB CAKE RUSK ,5.41,-143,,,,,,,0,TRUE,FALSE,0
0012042001068,KCB CAKE RUSH SP ,2.83,7,,,,,,,0,TRUE,FALSE,0
0012042001099,KCB VEG CAKE RUSK ,5,-12,,,,,,,0,TRUE,FALSE,0
0012042001709,KCB CAKE RUSK FENNEL ,5.29,8,,,,,,,0,TRUE,FALSE,0
0012118901234,PRYAER AMT,,-2,,,,,,,0,TRUE,FALSE,0
0012118906320,ZK SALTED COOKIES ,3.25,-6,,,,,,,0,TRUE,FALSE,0
0012118906321,ZK OVALTINE COOKIES ,3.25,3,,,,,,,0,TRUE,FALSE,0
0012118906322,ZK PEANUT COOKIES ,3.25,8,,,,,,,0,TRUE,FALSE,0
0012118906323,ZK COCO COOKIES ,3.25,8,,,,,,,0,TRUE,FALSE,0
0012118906324,ZK COCONUT COOKIES ,3.25,5,,,,,,,0,TRUE,FALSE,0
0012118906519,HM MENDI ,0,22,,,,,,,0,TRUE,FALSE,0
0012312412413,Prayer Mat BD,6,-1,,,,,,,0,FALSE,FALSE,0
0012432221411,CKN GD KEEMA ,1.725,-595.11,,,,,,,0,TRUE,TRUE,0
0012932221411,CKN LEG QTR ,0.9237,-462.71,,,,,,,0,TRUE,TRUE,0
0012932251412,CKN DRUMSTK ,0.97,-389.16,,,,,,,0,TRUE,TRUE,0
0012932251413,CKN LIVER ,0.65,8.29,,,,,,,0,TRUE,TRUE,0
0012932251414,CKN BRST ,1.47,-98.5,,,,,,,0,TRUE,TRUE,0
